City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
345,tondano,1.3038,124.9112,24.05,91,85,2.49,ID,1690228979
346,mao,39.8885,4.2658,27.31,94,75,4.12,ES,1690228979
347,korsakov,46.6328,142.7813,19.91,100,100,1.27,RU,1690228980
348,kerikeri,-35.2268,173.9474,8.28,94,17,2.3,NZ,1690228980
349,loukhi,66.0764,33.0381,10.53,98,100,1.85,RU,1690228980
350,port douglas,-16.4833,145.4667,15.73,53,0,3.46,AU,1690228981
351,san jose del cabo,23.0589,-109.6977,35.33,67,19,4.02,MX,1690228813
352,zhangatas,43.5667,69.75,26.61,17,0,1.69,KZ,1690228981
353,marsa alam,25.0757,34.8918,32.74,44,0,2.44,EG,1690228982
354,moquegua,-17.1956,-70.9353,23.41,27,0,3.3,PE,1690228982
355,saint croix,17.7397,-64.7388,29.27,66,91,7.17,VI,1690228983
356,livani,56.3543,26.1758,13.79,96,27,1.93,LV,1690228983
357,portland,45.5234,-122.6762,21.95,67,100,1.79,US,1690228843
358,uberaba,-19.7483,-47.9319,27.32,36,40,4.12,BR,1690228984
359,lipova,46.0833,21.7,25.68,61,44,3.23,RO,1690228984
360,korem,12.5058,39.5228,17.07,71,100,1.48,ET,1690228843
361,nakhon thai,17.1006,100.8374,23.83,95,100,0.2,TH,1690228985
362,puerto deseado,-47.7503,-65.8938,4.64,73,99,9.66,AR,1690228985
363,san juan,-31.5375,-68.5364,14.99,32,0,3.17,AR,1690228317
364,lianzhou,24.7811,112.3825,25.04,95,100,0.91,CN,1690228986
